"DB_ID","Pathway source","Pathway ID","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","Pathway associated genes","p_value","fdr","Pathway"
"GO_BP","biological_process","GO:1901700",61,1547,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000225831,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000252486,9606.ENSP00000264717,9606.ENSP00000265641,9606.ENSP00000269216,9606.ENSP00000269848,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000328364,9606.ENSP00000337383,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368014,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000438804,9606.ENSP00000446252,9606.ENSP00000462521,9606.ENSP00000467494,9606.ENSP00000480291,9606.ENSP00000481570,9606.ENSP00000486891,9606.ENSP00000494321,9606.ENSP00000496168,9606.ENSP00000497642,9606.ENSP00000499695","SIRT1,GCK,CCL2,NR3C1,EGR1,SOX9,APOE,GCKR,CPT1A,GATA6,PFKL,SST,PPARG,NEUROD1,NKX6-1,MC4R,INSR,IRS1,CXCL8,KLF11,HNF4A,SLC2A4,UCP3,MAFA,NLRP3,KCNJ11,SREBF1,STAT4,DNMT1,PTPN22,GLP1R,IRS2,TBC1D4,PAX4,FOXO1,PDX1,AKT2,NFE2L2,INS,ATP5F1A,GCGR,POMC,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,PIK3R1,TYK2,HNF1A,SOD2,TXNIP,GIPR,HNF1B,TNFAIP3,TCF7L2,ABCC8,BCL11A,LPL,UCP2",7.42e-42,1.16e-37,"Response to oxygen-containing compound"
"GO_BP","biological_process","GO:0010033",68,2692,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000225831,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000256104,9606.ENSP00000264717,9606.ENSP00000265641,9606.ENSP00000269216,9606.ENSP00000269848,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000302630,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000328364,9606.ENSP00000330341,9606.ENSP00000330393,9606.ENSP00000337383,9606.ENSP00000345492,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368014,9606.ENSP00000368880,9606.ENSP00000369293,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000416338,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000438804,9606.ENSP00000446252,9606.ENSP00000462521,9606.ENSP00000467494,9606.ENSP00000480291,9606.ENSP00000481570,9606.ENSP00000486891,9606.ENSP00000494321,9606.ENSP00000496168,9606.ENSP00000497271,9606.ENSP00000497642,9606.ENSP00000499695","SIRT1,GCK,CCL2,NR3C1,EGR1,SOX9,FABP4,GCKR,CPT1A,GATA6,PFKL,SST,PPARG,NEUROD1,NKX6-1,MC4R,ONECUT1,INSR,IRS1,CXCL8,KLF11,HNF4A,SLC2A4,UCP3,MAFA,SOCS3,LEPR,NLRP3,SH2B3,KCNJ11,SREBF1,STAT4,DNMT1,PTPN22,GLP1R,IRS2,TBC1D4,PAX4,FOXO1,IL2RA,PDX1,AKT2,NFE2L2,INS,ATP5F1A,GCGR,POMC,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,MFN2,PIK3R1,TYK2,HNF1A,SOD2,TXNIP,GIPR,HNF1B,TNFAIP3,TCF7L2,ABCC8,BCL11A,IFIH1,LPL,UCP2",5.97e-36,4.68e-32,"Response to organic substance"
"GO_BP","biological_process","GO:1901698",47,1058,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000265641,9606.ENSP00000269216,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000307023,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368014,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000438804,9606.ENSP00000481570,9606.ENSP00000494321,9606.ENSP00000496168,9606.ENSP00000497271,9606.ENSP00000497642,9606.ENSP00000499695","SIRT1,GCK,EGR1,SOX9,CPT1A,GATA6,SST,PPARG,NKX6-1,MC4R,INSR,IRS1,KLF11,SLC2A4,UCP3,KCNJ11,SREBF1,STAT4,DNMT1,PTPN22,GLP1R,IRS2,TBC1D4,PAX4,FOXO1,PDX1,AKT2,NFE2L2,INS,ATP5F1A,GCGR,POMC,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,PIK3R1,TYK2,HNF1A,TNFAIP3,ABCC8,BCL11A,IFIH1,LPL,UCP2",7.37e-33,3.85e-29,"Response to nitrogen compound"
"GO_BP","biological_process","GO:0010243",45,963,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000265641,9606.ENSP00000269216,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000307023,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368014,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000438804,9606.ENSP00000481570,9606.ENSP00000494321,9606.ENSP00000496168,9606.ENSP00000497642,9606.ENSP00000499695","SIRT1,GCK,EGR1,SOX9,CPT1A,GATA6,SST,PPARG,NKX6-1,MC4R,INSR,IRS1,KLF11,SLC2A4,UCP3,KCNJ11,SREBF1,STAT4,DNMT1,PTPN22,GLP1R,IRS2,TBC1D4,PAX4,FOXO1,PDX1,AKT2,NFE2L2,INS,GCGR,POMC,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,PIK3R1,TYK2,HNF1A,TNFAIP3,ABCC8,BCL11A,LPL,UCP2",3.45e-32,1.35e-28,"Response to organonitrogen compound"
"GO_BP","biological_process","GO:0042593",28,196,9606,"9606.ENSP00000212015,9606.ENSP00000216392,9606.ENSP00000223366,9606.ENSP00000264717,9606.ENSP00000264867,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000330393,9606.ENSP00000332208,9606.ENSP00000365016,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000380432,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000385675,9606.ENSP00000387662,9606.ENSP00000389814,9606.ENSP00000428056,9606.ENSP00000438804,9606.ENSP00000486891,9606.ENSP00000494321,9606.ENSP00000494664,9606.ENSP00000499695","SIRT1,PYGL,GCK,GCKR,PPARGC1A,PPARG,NEUROD1,INSR,IRS1,HNF4A,SLC2A4,LEPR,RFX6,IRS2,FOXO1,PDX1,INS,GCGR,POMC,IL6,GCG,ADIPOQ,PIK3R1,HNF1A,TCF7L2,ABCC8,HK1,UCP2",7.32e-32,2.3e-28,"Glucose homeostasis"
"GO_BP","biological_process","GO:0009719",49,1363,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000225831,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000269216,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000302630,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000330393,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000438804,9606.ENSP00000462521,9606.ENSP00000494321,9606.ENSP00000496168,9606.ENSP00000497642,9606.ENSP00000499695","SIRT1,GCK,CCL2,NR3C1,EGR1,SOX9,GATA6,SST,PPARG,NKX6-1,MC4R,ONECUT1,INSR,IRS1,CXCL8,KLF11,HNF4A,SLC2A4,UCP3,LEPR,SREBF1,STAT4,DNMT1,PTPN22,GLP1R,IRS2,TBC1D4,FOXO1,PDX1,AKT2,NFE2L2,INS,ATP5F1A,GCGR,POMC,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,PIK3R1,TYK2,HNF1A,TXNIP,ABCC8,BCL11A,LPL,UCP2",2.42e-30,5.42e-27,"Response to endogenous stimulus"
"GO_BP","biological_process","GO:1901652",33,437,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000239938,9606.ENSP00000287820,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000307023,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368880,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000481570,9606.ENSP00000494321,9606.ENSP00000499695","SIRT1,GCK,EGR1,PPARG,NKX6-1,MC4R,INSR,IRS1,KLF11,SLC2A4,UCP3,SREBF1,STAT4,PTPN22,GLP1R,IRS2,TBC1D4,FOXO1,AKT2,NFE2L2,INS,GCGR,POMC,RELA,ADIPOQ,TNF,FBP1,HDAC9,PIK3R1,TYK2,TNFAIP3,ABCC8,UCP2",2.57e-29,5.04e-26,"Response to peptide"
"GO_BP","biological_process","GO:0009725",39,762,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000269216,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000330393,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000462521,9606.ENSP00000494321,9606.ENSP00000499695","SIRT1,GCK,NR3C1,EGR1,GATA6,SST,PPARG,NKX6-1,MC4R,INSR,IRS1,HNF4A,SLC2A4,UCP3,LEPR,SREBF1,STAT4,GLP1R,IRS2,TBC1D4,FOXO1,PDX1,AKT2,NFE2L2,INS,ATP5F1A,GCGR,POMC,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,PIK3R1,TYK2,TXNIP,ABCC8,UCP2",6.64e-29,1.16e-25,"Response to hormone"
"GO_BP","biological_process","GO:0071310",55,2019,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000225831,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000256104,9606.ENSP00000265641,9606.ENSP00000269216,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000330341,9606.ENSP00000330393,9606.ENSP00000337383,9606.ENSP00000345492,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368880,9606.ENSP00000369293,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000438804,9606.ENSP00000446252,9606.ENSP00000481570,9606.ENSP00000494321,9606.ENSP00000496168,9606.ENSP00000497271,9606.ENSP00000497642,9606.ENSP00000499695","SIRT1,GCK,CCL2,NR3C1,EGR1,SOX9,FABP4,CPT1A,GATA6,SST,PPARG,NEUROD1,NKX6-1,ONECUT1,INSR,IRS1,CXCL8,KLF11,HNF4A,SLC2A4,UCP3,SOCS3,LEPR,NLRP3,SH2B3,SREBF1,STAT4,DNMT1,PTPN22,GLP1R,IRS2,TBC1D4,FOXO1,IL2RA,AKT2,NFE2L2,INS,ATP5F1A,GCGR,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,PIK3R1,TYK2,HNF1A,SOD2,TNFAIP3,ABCC8,BCL11A,IFIH1,LPL,UCP2",8.76e-29,1.37e-25,"Cellular response to organic substance"
"GO_BP","biological_process","GO:0042221",71,4010,9606,"9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000225831,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000252486,9606.ENSP00000256104,9606.ENSP00000264717,9606.ENSP00000264867,9606.ENSP00000265641,9606.ENSP00000269216,9606.ENSP00000269848,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000299766,9606.ENSP00000302630,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000323740,9606.ENSP00000328364,9606.ENSP00000330341,9606.ENSP00000330393,9606.ENSP00000337383,9606.ENSP00000345492,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352833,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000366863,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000369293,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000408025,9606.ENSP00000408617,9606.ENSP00000416338,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000438804,9606.ENSP00000446252,9606.ENSP00000462521,9606.ENSP00000467494,9606.ENSP00000480291,9606.ENSP00000481570,9606.ENSP00000486891,9606.ENSP00000494321,9606.ENSP00000496168,9606.ENSP00000497271,9606.ENSP00000497642,9606.ENSP00000499695","SIRT1,GCK,CCL2,NR3C1,EGR1,SOX9,APOE,FABP4,GCKR,PPARGC1A,CPT1A,GATA6,PFKL,SST,PPARG,NEUROD1,NKX6-1,MC4R,ONECUT1,INSR,IRS1,CXCL8,KLF11,HNF4A,SLC2A4,UCP3,MAFA,SOCS3,LEPR,NLRP3,SH2B3,KCNJ11,SREBF1,STAT4,DNMT1,PTPN22,GLP1R,IRS2,TBC1D4,PAX4,ARX,FOXO1,IL2RA,PDX1,AKT2,NFE2L2,INS,ATP5F1A,GCGR,POMC,RELA,IL6,ADIPOQ,TNF,FBP1,HDAC9,MFN2,PIK3R1,TYK2,HNF1A,SOD2,TXNIP,GIPR,HNF1B,TNFAIP3,TCF7L2,ABCC8,BCL11A,IFIH1,LPL,UCP2",3.01e-28,4.29e-25,"Response to chemical"
