category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Function	GO:0043565	36	1666	9606	9606.ENSP00000212015,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000252971,9606.ENSP00000264867,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000337383,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000395535,9606.ENSP00000398698,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	SIRT1,NR3C1,EGR1,NEUROG3,SOX9,MNX1,PPARGC1A,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,NLRP3,SREBF1,STAT4,DNMT1,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,MECP2,TNF,ZFP57,TFAM,HNF1A,HNF1B,TCF7L2,BCL11A	1.24e-14	6.09e-11	Sequence-specific DNA binding
Function	GO:0003682	21	584	9606	9606.ENSP00000212015,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000264867,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000312987,9606.ENSP00000348069,9606.ENSP00000352516,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000384273,9606.ENSP00000395535,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804	SIRT1,EGR1,NEUROG3,SOX9,PPARGC1A,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,HNF4A,SREBF1,DNMT1,ARX,FOXO1,PDX1,RELA,MECP2,ZFP57,TFAM,HNF1A	1.54e-12	3.02e-09	Chromatin binding
Function	GO:0003690	33	1661	9606	9606.ENSP00000212015,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000252971,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000395535,9606.ENSP00000398698,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	SIRT1,NR3C1,EGR1,NEUROG3,SOX9,MNX1,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,SREBF1,STAT4,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,MECP2,TNF,ZFP57,TFAM,HNF1A,HNF1B,TCF7L2,BCL11A	2.3e-12	3.02e-09	Double-stranded DNA binding
Function	GO:0003700	31	1420	9606	9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000252971,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000395535,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	NR3C1,EGR1,NEUROG3,SOX9,MNX1,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,SREBF1,STAT4,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,MECP2,ZFP57,TFAM,HNF1A,HNF1B,TCF7L2,BCL11A	1.22e-12	3.02e-09	DNA-binding transcription factor activity
Function	GO:1990837	32	1564	9606	9606.ENSP00000212015,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000252971,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000398698,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	SIRT1,NR3C1,EGR1,NEUROG3,SOX9,MNX1,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,SREBF1,STAT4,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,TNF,ZFP57,TFAM,HNF1A,HNF1B,TCF7L2,BCL11A	2.59e-12	3.02e-09	Sequence-specific double-stranded DNA binding
Function	GO:0000978	28	1196	9606	9606.ENSP00000212015,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	SIRT1,NR3C1,EGR1,NEUROG3,SOX9,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,SREBF1,STAT4,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,HNF1A,HNF1B,TCF7L2,BCL11A	4.08e-12	3.35e-09	RNA polymerase II cis-regulatory region sequence-specific DNA binding
Function	GO:0000976	31	1506	9606	9606.ENSP00000212015,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000398698,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	SIRT1,NR3C1,EGR1,NEUROG3,SOX9,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,SREBF1,STAT4,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,TNF,ZFP57,TFAM,HNF1A,HNF1B,TCF7L2,BCL11A	5.49e-12	3.87e-09	Transcription cis-regulatory region binding
Function	GO:0000981	29	1368	9606	9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000252971,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000418259,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	NR3C1,EGR1,NEUROG3,SOX9,MNX1,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,SREBF1,STAT4,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,ZFP57,HNF1A,HNF1B,TCF7L2,BCL11A	1.64e-11	8.07e-09	DNA-binding transcription factor activity, RNA polymerase II-specific
Function	GO:0003677	39	2498	9606	9606.ENSP00000212015,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000252971,9606.ENSP00000264867,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000337383,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352516,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000395535,9606.ENSP00000398698,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804,9606.ENSP00000446252,9606.ENSP00000480291,9606.ENSP00000481570,9606.ENSP00000486891,9606.ENSP00000496168,9606.ENSP00000497271	SIRT1,NR3C1,EGR1,NEUROG3,SOX9,MNX1,PPARGC1A,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,NLRP3,SREBF1,STAT4,DNMT1,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,MECP2,TNF,ZFP57,TFAM,HNF1A,SOD2,HNF1B,TNFAIP3,TCF7L2,BCL11A,IFIH1	1.77e-11	8.07e-09	DNA binding
Function	GO:0140110	34	1931	9606	9606.ENSP00000212015,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000252971,9606.ENSP00000264867,9606.ENSP00000269216,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000307023,9606.ENSP00000312987,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000351255,9606.ENSP00000352673,9606.ENSP00000368014,9606.ENSP00000368332,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000371398,9606.ENSP00000380252,9606.ENSP00000384273,9606.ENSP00000395535,9606.ENSP00000408617,9606.ENSP00000418259,9606.ENSP00000420588,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000486891,9606.ENSP00000496168	SIRT1,NR3C1,EGR1,NEUROG3,SOX9,MNX1,PPARGC1A,GATA6,PPARG,NEUROD1,NKX6-1,ONECUT1,KLF11,HNF4A,MAFA,RFX6,SREBF1,STAT4,ELF3,PAX4,ARX,FOXO1,PDX1,GLIS3,NFE2L2,RELA,MECP2,HDAC9,ZFP57,TFAM,HNF1A,HNF1B,TCF7L2,BCL11A	2.58e-11	1.06e-08	Transcription regulator activity
