category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
RCTM	HSA-186712	16	42	9606	9606.ENSP00000223366,9606.ENSP00000242462,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000302630,9606.ENSP00000312987,9606.ENSP00000323568,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000368014,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380432,9606.ENSP00000438804,9606.ENSP00000480291	GCK,NEUROG3,NEUROD1,NKX6-1,ONECUT1,HNF4A,SLC2A2,MAFA,RFX6,PAX4,FOXO1,PDX1,AKT2,INS,HNF1A,HNF1B	2.43e-24	5.55e-21	Regulation of beta-cell development
RCTM	HSA-210745	12	21	9606	9606.ENSP00000223366,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000312987,9606.ENSP00000323568,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380432,9606.ENSP00000438804	GCK,NEUROD1,NKX6-1,HNF4A,SLC2A2,MAFA,RFX6,FOXO1,PDX1,AKT2,INS,HNF1A	3.51e-20	4.01e-17	Regulation of gene expression in beta cells
RCTM	HSA-1266738	29	1108	9606	9606.ENSP00000223366,9606.ENSP00000242462,9606.ENSP00000245479,9606.ENSP00000256104,9606.ENSP00000264867,9606.ENSP00000287820,9606.ENSP00000295108,9606.ENSP00000295886,9606.ENSP00000300055,9606.ENSP00000302630,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000323568,9606.ENSP00000328364,9606.ENSP00000332208,9606.ENSP00000348069,9606.ENSP00000365016,9606.ENSP00000368014,9606.ENSP00000368880,9606.ENSP00000370421,9606.ENSP00000375892,9606.ENSP00000380432,9606.ENSP00000384273,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000428056,9606.ENSP00000438804,9606.ENSP00000480291,9606.ENSP00000497642	GCK,NEUROG3,SOX9,FABP4,PPARGC1A,PPARG,NEUROD1,NKX6-1,PLIN1,ONECUT1,HNF4A,SLC2A4,SLC2A2,MAFA,RFX6,SREBF1,IRS2,PAX4,FOXO1,PDX1,AKT2,INS,RELA,ADIPOQ,TNF,PIK3R1,HNF1A,HNF1B,LPL	9.88e-14	7.52e-11	Developmental Biology
RCTM	HSA-9614085	11	65	9606	9606.ENSP00000212015,9606.ENSP00000223366,9606.ENSP00000231509,9606.ENSP00000264867,9606.ENSP00000348069,9606.ENSP00000368880,9606.ENSP00000375892,9606.ENSP00000380432,9606.ENSP00000384092,9606.ENSP00000446252,9606.ENSP00000462521	SIRT1,GCK,NR3C1,PPARGC1A,SREBF1,FOXO1,AKT2,INS,POMC,SOD2,TXNIP	1.08e-13	7.52e-11	FOXO-mediated transcription
RCTM	HSA-162582	40	2540	9606	9606.ENSP00000225831,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000245479,9606.ENSP00000252486,9606.ENSP00000265641,9606.ENSP00000287641,9606.ENSP00000287820,9606.ENSP00000299766,9606.ENSP00000300055,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000330341,9606.ENSP00000330393,9606.ENSP00000345492,9606.ENSP00000348069,9606.ENSP00000352673,9606.ENSP00000353198,9606.ENSP00000356094,9606.ENSP00000362353,9606.ENSP00000365016,9606.ENSP00000368880,9606.ENSP00000369134,9606.ENSP00000369293,9606.ENSP00000375892,9606.ENSP00000380432,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000387662,9606.ENSP00000398698,9606.ENSP00000408617,9606.ENSP00000416338,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000467494,9606.ENSP00000481570,9606.ENSP00000486891	CCL2,NR3C1,EGR1,SOX9,APOE,CPT1A,SST,PPARG,MC4R,PLIN1,INSR,IRS1,CXCL8,SOCS3,LEPR,SH2B3,SREBF1,ELF3,PYY,AVPR1B,GLP1R,IRS2,FOXO1,PDHA1,IL2RA,AKT2,INS,GCGR,POMC,RELA,IL6,GCG,TNF,HDAC9,MFN2,PIK3R1,TYK2,GIPR,TNFAIP3,TCF7L2	6.41e-12	2.93e-09	Signal Transduction
RCTM	HSA-9615017	8	30	9606	9606.ENSP00000223366,9606.ENSP00000231509,9606.ENSP00000264867,9606.ENSP00000348069,9606.ENSP00000368880,9606.ENSP00000380432,9606.ENSP00000384092,9606.ENSP00000446252	GCK,NR3C1,PPARGC1A,SREBF1,FOXO1,INS,POMC,SOD2	1.17e-11	4.44e-09	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes
RCTM	HSA-381340	10	84	9606	9606.ENSP00000256104,9606.ENSP00000264867,9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000320935,9606.ENSP00000348069,9606.ENSP00000384273,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000497642	FABP4,PPARGC1A,PPARG,PLIN1,SLC2A4,SREBF1,RELA,ADIPOQ,TNF,LPL	3.54e-11	1.16e-08	Transcriptional regulation of white adipocyte differentiation
RCTM	HSA-1280215	20	706	9606	9606.ENSP00000225831,9606.ENSP00000239938,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000330341,9606.ENSP00000345492,9606.ENSP00000351255,9606.ENSP00000353099,9606.ENSP00000364080,9606.ENSP00000365016,9606.ENSP00000368880,9606.ENSP00000369293,9606.ENSP00000375892,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000446252	CCL2,EGR1,IRS1,CXCL8,SOCS3,SH2B3,STAT4,HLA-DRB1,HLA-DQB1,IRS2,FOXO1,IL2RA,AKT2,POMC,RELA,IL6,TNF,PIK3R1,TYK2,SOD2	3.47e-10	9.91e-08	Cytokine Signaling in Immune system
RCTM	HSA-1430728	33	2092	9606	9606.ENSP00000216392,9606.ENSP00000223366,9606.ENSP00000252486,9606.ENSP00000256104,9606.ENSP00000264717,9606.ENSP00000264867,9606.ENSP00000265641,9606.ENSP00000269848,9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000323568,9606.ENSP00000323740,9606.ENSP00000345708,9606.ENSP00000348069,9606.ENSP00000359871,9606.ENSP00000362353,9606.ENSP00000369134,9606.ENSP00000380432,9606.ENSP00000381736,9606.ENSP00000383558,9606.ENSP00000384092,9606.ENSP00000387662,9606.ENSP00000389814,9606.ENSP00000392709,9606.ENSP00000408025,9606.ENSP00000428056,9606.ENSP00000445175,9606.ENSP00000494321,9606.ENSP00000494664,9606.ENSP00000497642,9606.ENSP00000497767,9606.ENSP00000498994,9606.ENSP00000499695	PYGL,GCK,APOE,FABP4,GCKR,PPARGC1A,CPT1A,PFKL,PPARG,PLIN1,SLC2A2,UCP3,KCNJ11,SREBF1,ACADM,GLP1R,PDHA1,INS,ATP5F1A,GCGR,POMC,GCG,ADIPOQ,NDUFS1,FBP1,PIK3R1,LDHA,ABCC8,HK1,LPL,ALDOB,PC,UCP2	9.64e-10	2.45e-07	Metabolism
RCTM	HSA-1643685	29	1702	9606	9606.ENSP00000223366,9606.ENSP00000231509,9606.ENSP00000264717,9606.ENSP00000304895,9606.ENSP00000323568,9606.ENSP00000337383,9606.ENSP00000345708,9606.ENSP00000352516,9606.ENSP00000356094,9606.ENSP00000365016,9606.ENSP00000368880,9606.ENSP00000375892,9606.ENSP00000380252,9606.ENSP00000384092,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000395535,9606.ENSP00000408617,9606.ENSP00000428056,9606.ENSP00000431885,9606.ENSP00000446252,9606.ENSP00000462521,9606.ENSP00000486891,9606.ENSP00000494321,9606.ENSP00000494664,9606.ENSP00000496168,9606.ENSP00000497271,9606.ENSP00000497767,9606.ENSP00000498994	GCK,NR3C1,GCKR,IRS1,SLC2A2,NLRP3,KCNJ11,DNMT1,AVPR1B,IRS2,FOXO1,AKT2,NFE2L2,POMC,RELA,IL6,MECP2,HDAC9,PIK3R1,TYK2,SOD2,TXNIP,TCF7L2,ABCC8,HK1,BCL11A,IFIH1,ALDOB,PC	2.58e-09	5.9e-07	Disease
