category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
WikiPathways	WP3599	11	22	9606	9606.ENSP00000231509,9606.ENSP00000264867,9606.ENSP00000287820,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000320935,9606.ENSP00000365016,9606.ENSP00000368880,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698	NR3C1,PPARGC1A,PPARG,INSR,IRS1,SLC2A4,IRS2,FOXO1,IL6,ADIPOQ,TNF	4.34e-18	3.39e-15	Transcription factor regulation in adipogenesis
WikiPathways	WP236	16	130	9606	9606.ENSP00000231509,9606.ENSP00000264867,9606.ENSP00000287820,9606.ENSP00000300055,9606.ENSP00000304895,9606.ENSP00000320935,9606.ENSP00000330341,9606.ENSP00000348069,9606.ENSP00000365016,9606.ENSP00000368880,9606.ENSP00000380432,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000438804,9606.ENSP00000497642	NR3C1,PPARGC1A,PPARG,PLIN1,IRS1,SLC2A4,SOCS3,SREBF1,IRS2,FOXO1,INS,IL6,ADIPOQ,TNF,HNF1A,LPL	1.87e-17	7.3e-15	Adipogenesis
WikiPathways	WP4396	16	154	9606	9606.ENSP00000225831,9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000306512,9606.ENSP00000330341,9606.ENSP00000330393,9606.ENSP00000348069,9606.ENSP00000365016,9606.ENSP00000375892,9606.ENSP00000380432,9606.ENSP00000384273,9606.ENSP00000385675,9606.ENSP00000389814,9606.ENSP00000392709,9606.ENSP00000398698,9606.ENSP00000428056	CCL2,INSR,IRS1,CXCL8,SOCS3,LEPR,SREBF1,IRS2,AKT2,INS,RELA,IL6,ADIPOQ,NDUFS1,TNF,PIK3R1	2.2e-16	5.73e-14	Nonalcoholic fatty liver disease
WikiPathways	WP1584	9	22	9606	9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000320935,9606.ENSP00000323568,9606.ENSP00000328364,9606.ENSP00000345708,9606.ENSP00000370421,9606.ENSP00000389814,9606.ENSP00000398698	INSR,IRS1,SLC2A4,SLC2A2,MAFA,KCNJ11,PDX1,ADIPOQ,TNF	2.26e-14	4.41e-12	Type II diabetes mellitus
WikiPathways	WP5181	9	23	9606	9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000320935,9606.ENSP00000328364,9606.ENSP00000365016,9606.ENSP00000370421,9606.ENSP00000380432,9606.ENSP00000398698,9606.ENSP00000428056	INSR,IRS1,SLC2A4,MAFA,IRS2,PDX1,INS,TNF,PIK3R1	3.13e-14	4.89e-12	Roles of ceramides in development of insulin resistance
WikiPathways	WP534	10	43	9606	9606.ENSP00000223366,9606.ENSP00000269848,9606.ENSP00000320935,9606.ENSP00000323568,9606.ENSP00000369134,9606.ENSP00000408025,9606.ENSP00000445175,9606.ENSP00000494664,9606.ENSP00000497767,9606.ENSP00000498994	GCK,PFKL,SLC2A4,SLC2A2,PDHA1,FBP1,LDHA,HK1,ALDOB,PC	9.02e-14	1.17e-11	Glycolysis and gluconeogenesis
WikiPathways	WP706	13	154	9606	9606.ENSP00000223366,9606.ENSP00000231509,9606.ENSP00000239938,9606.ENSP00000264867,9606.ENSP00000265641,9606.ENSP00000287641,9606.ENSP00000295108,9606.ENSP00000306512,9606.ENSP00000359871,9606.ENSP00000385675,9606.ENSP00000395535,9606.ENSP00000398698,9606.ENSP00000408617	GCK,NR3C1,EGR1,PPARGC1A,CPT1A,SST,NEUROD1,CXCL8,ACADM,IL6,MECP2,TNF,HDAC9	1.97e-12	2.2e-10	Sudden infant death syndrome (SIDS) susceptibility pathways
WikiPathways	WP4970	7	20	9606	9606.ENSP00000264867,9606.ENSP00000287820,9606.ENSP00000320935,9606.ENSP00000380432,9606.ENSP00000384092,9606.ENSP00000385675,9606.ENSP00000389814	PPARGC1A,PPARG,SLC2A4,INS,POMC,IL6,ADIPOQ	4.8e-11	4.68e-09	Galanin receptor pathway
WikiPathways	WP3915	11	131	9606	9606.ENSP00000303830,9606.ENSP00000304895,9606.ENSP00000320935,9606.ENSP00000348069,9606.ENSP00000365016,9606.ENSP00000368880,9606.ENSP00000375892,9606.ENSP00000380432,9606.ENSP00000408025,9606.ENSP00000428056,9606.ENSP00000497642	INSR,IRS1,SLC2A4,SREBF1,IRS2,FOXO1,AKT2,INS,FBP1,PIK3R1,LPL	1.15e-10	9.98e-09	Angiopoietin-like protein 8 regulatory pathway
WikiPathways	WP1403	9	67	9606	9606.ENSP00000265641,9606.ENSP00000303830,9606.ENSP00000312987,9606.ENSP00000320935,9606.ENSP00000330393,9606.ENSP00000348069,9606.ENSP00000375892,9606.ENSP00000389814,9606.ENSP00000428056	CPT1A,INSR,HNF4A,SLC2A4,LEPR,SREBF1,AKT2,ADIPOQ,PIK3R1	1.33e-10	1.04e-08	AMP-activated protein kinase signaling
