"DB_ID","Pathway source","Pathway ID","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","Pathway associated genes","p_value","fdr","Pathway"
"GO_BP","biological_process","GO:0001944",30,527,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000257566,9606.ENSP00000261797,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000263734,9606.ENSP00000296420,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000311502,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000353013,9606.ENSP00000355026,9606.ENSP00000355094,9606.ENSP00000361097,9606.ENSP00000364163,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000379087,9606.ENSP00000387739,9606.ENSP00000434034,9606.ENSP00000457421,9606.ENSP00000465638,9606.ENSP00000479243,9606.ENSP00000497290","CEACAM1,RASIP1,RAMP2,TBX3,NDST1,SMAD7,FOXF1,EPAS1,EMCN,ROBO4,S1PR1,HEG1,CAV1,GATA2,CLEC14A,ARHGEF15,QKI,MMRN2,NOTCH4,TEK,SEMA5A,ACVRL1,CALCRL,ADM2,AMOTL1,FZD4,PECAM1,TMEM100,ECSCR,CDH5",1.46e-13,2.29e-09,"Vasculature development"
"GO_BP","biological_process","GO:0001568",29,505,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000257566,9606.ENSP00000261797,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000263734,9606.ENSP00000296420,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000311502,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000353013,9606.ENSP00000355094,9606.ENSP00000361097,9606.ENSP00000364163,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000379087,9606.ENSP00000387739,9606.ENSP00000434034,9606.ENSP00000457421,9606.ENSP00000465638,9606.ENSP00000479243,9606.ENSP00000497290","CEACAM1,RASIP1,RAMP2,TBX3,NDST1,SMAD7,FOXF1,EPAS1,EMCN,ROBO4,S1PR1,HEG1,CAV1,GATA2,CLEC14A,QKI,MMRN2,NOTCH4,TEK,SEMA5A,ACVRL1,CALCRL,ADM2,AMOTL1,FZD4,PECAM1,TMEM100,ECSCR,CDH5",3.15e-13,2.47e-09,"Blood vessel development"
"GO_BP","biological_process","GO:0072359",37,901,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000257566,9606.ENSP00000261797,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000262659,9606.ENSP00000263734,9606.ENSP00000296420,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000311502,9606.ENSP00000312634,9606.ENSP00000313172,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000352540,9606.ENSP00000353013,9606.ENSP00000354080,9606.ENSP00000355026,9606.ENSP00000355094,9606.ENSP00000358365,9606.ENSP00000361097,9606.ENSP00000364163,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000377823,9606.ENSP00000379087,9606.ENSP00000387739,9606.ENSP00000434034,9606.ENSP00000457421,9606.ENSP00000465638,9606.ENSP00000479243,9606.ENSP00000497290","CEACAM1,RASIP1,RAMP2,TBX3,NDST1,SMAD7,FOXF1,CCM2L,EPAS1,EMCN,ROBO4,S1PR1,HEG1,PDLIM2,BVES,CAV1,GATA2,EMP2,CLEC14A,SCUBE1,ARHGEF15,QKI,NRAP,MMRN2,NOTCH4,TEK,SEMA5A,ACVRL1,CALCRL,NDRG4,ADM2,AMOTL1,FZD4,PECAM1,TMEM100,ECSCR,CDH5",2.18e-12,1.14e-08,"Circulatory system development"
"GO_BP","biological_process","GO:0048514",25,419,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000263734,9606.ENSP00000296420,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000311502,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000353013,9606.ENSP00000355094,9606.ENSP00000361097,9606.ENSP00000364163,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000379087,9606.ENSP00000387739,9606.ENSP00000434034,9606.ENSP00000465638,9606.ENSP00000479243","CEACAM1,RASIP1,RAMP2,SMAD7,FOXF1,EPAS1,EMCN,ROBO4,S1PR1,HEG1,CAV1,GATA2,CLEC14A,QKI,MMRN2,NOTCH4,TEK,SEMA5A,ACVRL1,CALCRL,ADM2,AMOTL1,FZD4,TMEM100,ECSCR",7.08e-12,2.78e-08,"Blood vessel morphogenesis"
"GO_BP","biological_process","GO:0009653",59,2229,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000231721,9606.ENSP00000252971,9606.ENSP00000253796,9606.ENSP00000257566,9606.ENSP00000261797,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000262659,9606.ENSP00000263734,9606.ENSP00000279022,9606.ENSP00000280187,9606.ENSP00000288955,9606.ENSP00000296420,9606.ENSP00000297508,9606.ENSP00000298159,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000311502,9606.ENSP00000313172,9606.ENSP00000320295,9606.ENSP00000338785,9606.ENSP00000339191,9606.ENSP00000342858,9606.ENSP00000345681,9606.ENSP00000348828,9606.ENSP00000349259,9606.ENSP00000352540,9606.ENSP00000353013,9606.ENSP00000355026,9606.ENSP00000355094,9606.ENSP00000357073,9606.ENSP00000358365,9606.ENSP00000361097,9606.ENSP00000361214,9606.ENSP00000364163,9606.ENSP00000367608,9606.ENSP00000369320,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000377823,9606.ENSP00000379087,9606.ENSP00000379377,9606.ENSP00000383376,9606.ENSP00000385545,9606.ENSP00000386213,9606.ENSP00000387739,9606.ENSP00000405841,9606.ENSP00000414378,9606.ENSP00000432568,9606.ENSP00000433560,9606.ENSP00000434034,9606.ENSP00000465638,9606.ENSP00000479243,9606.ENSP00000482841,9606.ENSP00000497290","CEACAM1,RASIP1,SEMA3G,MNX1,RAMP2,TBX3,NDST1,SMAD7,FOXF1,CCM2L,EPAS1,MYL9,GPM6A,GRHL3,EMCN,MICALL2,CFL2,ROBO4,S1PR1,HEG1,BVES,TUBB3,STARD13,CAV1,FERMT2,GATA2,ARHGEF26,SPTBN1,EMP2,CLEC14A,ARHGEF15,QKI,IGSF9,NRAP,MMRN2,NRG3,NOTCH4,CA9,RS1,TEK,SEMA5A,ACVRL1,CALCRL,NDRG4,ADM2,GCNT3,JAM2,KIF26B,MYO3B,AMOTL1,RXFP1,EFNA4,SPTBN2,CRYAB,FZD4,TMEM100,ECSCR,CRABP2,CDH5",1.85e-11,5.8e-08,"Anatomical structure morphogenesis"
"GO_BP","biological_process","GO:0035295",35,880,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000257566,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000263734,9606.ENSP00000263735,9606.ENSP00000272895,9606.ENSP00000288955,9606.ENSP00000296420,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000311502,9606.ENSP00000338785,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000353013,9606.ENSP00000355094,9606.ENSP00000361097,9606.ENSP00000363149,9606.ENSP00000364163,9606.ENSP00000366416,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000377823,9606.ENSP00000379087,9606.ENSP00000385545,9606.ENSP00000387739,9606.ENSP00000405841,9606.ENSP00000434034,9606.ENSP00000465638,9606.ENSP00000479243","CEACAM1,RASIP1,RAMP2,TBX3,SMAD7,FOXF1,EPAS1,EPCAM,ABCA12,GRHL3,EMCN,ROBO4,S1PR1,HEG1,STARD13,CAV1,GATA2,CLEC14A,QKI,MMRN2,SPDEF,NOTCH4,EDNRB,TEK,SEMA5A,ACVRL1,CALCRL,NDRG4,ADM2,KIF26B,AMOTL1,RXFP1,FZD4,TMEM100,ECSCR",2.2e-11,5.8e-08,"Tube development"
"GO_BP","biological_process","GO:0035239",30,669,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000257566,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000263734,9606.ENSP00000288955,9606.ENSP00000296420,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000311502,9606.ENSP00000338785,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000353013,9606.ENSP00000355094,9606.ENSP00000361097,9606.ENSP00000364163,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000377823,9606.ENSP00000379087,9606.ENSP00000385545,9606.ENSP00000387739,9606.ENSP00000434034,9606.ENSP00000465638,9606.ENSP00000479243","CEACAM1,RASIP1,RAMP2,TBX3,SMAD7,FOXF1,EPAS1,GRHL3,EMCN,ROBO4,S1PR1,HEG1,STARD13,CAV1,GATA2,CLEC14A,QKI,MMRN2,NOTCH4,TEK,SEMA5A,ACVRL1,CALCRL,NDRG4,ADM2,KIF26B,AMOTL1,FZD4,TMEM100,ECSCR",4.45e-11,9.98e-08,"Tube morphogenesis"
"GO_BP","biological_process","GO:0001525",20,325,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000263734,9606.ENSP00000296420,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000353013,9606.ENSP00000361097,9606.ENSP00000364163,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000379087,9606.ENSP00000387739,9606.ENSP00000465638,9606.ENSP00000479243","CEACAM1,RASIP1,RAMP2,EPAS1,EMCN,ROBO4,S1PR1,CAV1,GATA2,CLEC14A,MMRN2,NOTCH4,TEK,SEMA5A,ACVRL1,CALCRL,ADM2,AMOTL1,TMEM100,ECSCR",6.07e-10,1.19e-06,"Angiogenesis"
"GO_BP","biological_process","GO:0040012",34,1032,9606,"9606.ENSP00000161559,9606.ENSP00000217289,9606.ENSP00000231721,9606.ENSP00000262158,9606.ENSP00000262426,9606.ENSP00000263257,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000305603,9606.ENSP00000306490,9606.ENSP00000306772,9606.ENSP00000313172,9606.ENSP00000321108,9606.ENSP00000338785,9606.ENSP00000339191,9606.ENSP00000342858,9606.ENSP00000345681,9606.ENSP00000348278,9606.ENSP00000349541,9606.ENSP00000352540,9606.ENSP00000356437,9606.ENSP00000361097,9606.ENSP00000361214,9606.ENSP00000364210,9606.ENSP00000368664,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000377823,9606.ENSP00000383376,9606.ENSP00000387739,9606.ENSP00000434034,9606.ENSP00000457421,9606.ENSP00000497290","CEACAM1,FERMT1,SEMA3G,SMAD7,FOXF1,NOVA2,ROBO4,S1PR1,FUT3,CHRM1,LDB2,BVES,SPOCK2,STARD13,CAV1,FERMT2,GATA2,STK39,CAVIN1,EMP2,SASH1,MMRN2,NRG3,AGER,RGCC,TEK,SEMA5A,ACVRL1,NDRG4,JAM2,AMOTL1,FZD4,PECAM1,CDH5",4.99e-09,8.7e-06,"Regulation of locomotion"
"GO_BP","biological_process","GO:0048646",32,938,9606,"9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000253796,9606.ENSP00000257566,9606.ENSP00000262426,9606.ENSP00000263734,9606.ENSP00000279022,9606.ENSP00000288955,9606.ENSP00000296420,9606.ENSP00000298159,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000339191,9606.ENSP00000345681,9606.ENSP00000349259,9606.ENSP00000352540,9606.ENSP00000353013,9606.ENSP00000358365,9606.ENSP00000361097,9606.ENSP00000361214,9606.ENSP00000364163,9606.ENSP00000369320,9606.ENSP00000369375,9606.ENSP00000371936,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000379087,9606.ENSP00000383376,9606.ENSP00000385545,9606.ENSP00000387739,9606.ENSP00000465638,9606.ENSP00000479243","CEACAM1,RASIP1,RAMP2,TBX3,FOXF1,EPAS1,MYL9,GRHL3,EMCN,CFL2,ROBO4,S1PR1,CAV1,GATA2,SPTBN1,EMP2,CLEC14A,NRAP,MMRN2,NRG3,NOTCH4,RS1,TEK,SEMA5A,ACVRL1,CALCRL,ADM2,JAM2,KIF26B,AMOTL1,TMEM100,ECSCR",6.75e-09,1.06e-05,"Anatomical structure formation involved in morphogenesis"
