category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO:0005911	25	499	9606	9606.ENSP00000161559,9606.ENSP00000222145,9606.ENSP00000231484,9606.ENSP00000263735,9606.ENSP00000275954,9606.ENSP00000297508,9606.ENSP00000311502,9606.ENSP00000312634,9606.ENSP00000313172,9606.ENSP00000324302,9606.ENSP00000326888,9606.ENSP00000336775,9606.ENSP00000342858,9606.ENSP00000356991,9606.ENSP00000358365,9606.ENSP00000369375,9606.ENSP00000383376,9606.ENSP00000384040,9606.ENSP00000387739,9606.ENSP00000411613,9606.ENSP00000432568,9606.ENSP00000434034,9606.ENSP00000447488,9606.ENSP00000457421,9606.ENSP00000497290	CEACAM1,RASIP1,PCDH12,EPCAM,TMEM47,MICALL2,HEG1,PDLIM2,BVES,STXBP6,LIMS2,SYNM,FERMT2,NECTIN4,NRAP,TEK,JAM2,CCDC85A,AMOTL1,AOC1,SPTBN2,FZD4,LIN7A,PECAM1,CDH5	2.42e-10	4.91e-07	Cell-cell junction
Component	GO:0071944	107	6015	9606	9606.ENSP00000006724,9606.ENSP00000161559,9606.ENSP00000185206,9606.ENSP00000215743,9606.ENSP00000217289,9606.ENSP00000221992,9606.ENSP00000222693,9606.ENSP00000231484,9606.ENSP00000231721,9606.ENSP00000242249,9606.ENSP00000248564,9606.ENSP00000253796,9606.ENSP00000262158,9606.ENSP00000262406,9606.ENSP00000263735,9606.ENSP00000264257,9606.ENSP00000266085,9606.ENSP00000267853,9606.ENSP00000268933,9606.ENSP00000272895,9606.ENSP00000275954,9606.ENSP00000279022,9606.ENSP00000280187,9606.ENSP00000285238,9606.ENSP00000289248,9606.ENSP00000296130,9606.ENSP00000296420,9606.ENSP00000297477,9606.ENSP00000297508,9606.ENSP00000298351,9606.ENSP00000300900,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000305675,9606.ENSP00000306490,9606.ENSP00000306772,9606.ENSP00000311502,9606.ENSP00000312126,9606.ENSP00000312634,9606.ENSP00000313172,9606.ENSP00000317817,9606.ENSP00000318270,9606.ENSP00000320295,9606.ENSP00000321108,9606.ENSP00000324302,9606.ENSP00000325674,9606.ENSP00000326018,9606.ENSP00000326888,9606.ENSP00000327246,9606.ENSP00000327368,9606.ENSP00000334938,9606.ENSP00000336775,9606.ENSP00000339191,9606.ENSP00000342858,9606.ENSP00000345359,9606.ENSP00000348278,9606.ENSP00000349259,9606.ENSP00000349541,9606.ENSP00000351430,9606.ENSP00000352540,9606.ENSP00000353013,9606.ENSP00000354080,9606.ENSP00000356540,9606.ENSP00000356991,9606.ENSP00000357073,9606.ENSP00000357389,9606.ENSP00000359245,9606.ENSP00000361097,9606.ENSP00000361214,9606.ENSP00000361959,9606.ENSP00000362894,9606.ENSP00000363001,9606.ENSP00000363654,9606.ENSP00000364163,9606.ENSP00000364210,9606.ENSP00000365528,9606.ENSP00000366416,9606.ENSP00000367608,9606.ENSP00000368720,9606.ENSP00000368771,9606.ENSP00000368966,9606.ENSP00000369320,9606.ENSP00000369375,9606.ENSP00000369442,9606.ENSP00000371936,9606.ENSP00000373364,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000376609,9606.ENSP00000377520,9606.ENSP00000377823,9606.ENSP00000383376,9606.ENSP00000387739,9606.ENSP00000405841,9606.ENSP00000411613,9606.ENSP00000414378,9606.ENSP00000415743,9606.ENSP00000416037,9606.ENSP00000432568,9606.ENSP00000433560,9606.ENSP00000434034,9606.ENSP00000447488,9606.ENSP00000457421,9606.ENSP00000465638,9606.ENSP00000479243,9606.ENSP00000494162,9606.ENSP00000497290	CEACAM7,CEACAM1,CLIC5,MMP11,FERMT1,CEACAM5,CAV2,PCDH12,SEMA3G,RAMP3,GNG11,RAMP2,SMAD7,RGS9,EPCAM,IL1RL2,TIMP3,MYZAP,EPN3,ABCA12,TMEM47,MYL9,GPM6A,ABCC3,RHBDL2,CLEC3B,EMCN,TMEM184A,MICALL2,TMEM63C,CA4,ROBO4,S1PR1,CAVIN2,CHRM1,LDB2,HEG1,ADCY4,PDLIM2,BVES,SH2D3C,PROM2,TUBB3,SPOCK2,STXBP6,EXOC3L1,PRX,LIMS2,VIPR1,COL10A1,UPK3B,SYNM,CAV1,FERMT2,PODXL2,STK39,SPTBN1,CAVIN1,GYPE,EMP2,CLEC14A,SCUBE1,STX11,NECTIN4,IGSF9,SLC50A1,ABCA4,MMRN2,NRG3,CCN5,RTKN2,SMPDL3B,PALM2AKAP2,NOTCH4,AGER,PTPRH,EDNRB,CA9,PLEKHN1,MUC3A,TRPC3,RS1,TEK,KL,SEMA5A,GOLM1,ACVRL1,CALCRL,GRK5,SYT12,NDRG4,JAM2,AMOTL1,RXFP1,AOC1,EFNA4,CD36,TMPRSS4,SPTBN2,CRYAB,FZD4,LIN7A,PECAM1,TMEM100,ECSCR,CBLC,CDH5	2.4e-10	4.91e-07	Cell periphery
Component	GO:0005886	96	5544	9606	9606.ENSP00000006724,9606.ENSP00000161559,9606.ENSP00000185206,9606.ENSP00000217289,9606.ENSP00000221992,9606.ENSP00000222693,9606.ENSP00000231484,9606.ENSP00000231721,9606.ENSP00000242249,9606.ENSP00000248564,9606.ENSP00000253796,9606.ENSP00000262158,9606.ENSP00000262406,9606.ENSP00000263735,9606.ENSP00000264257,9606.ENSP00000267853,9606.ENSP00000268933,9606.ENSP00000272895,9606.ENSP00000275954,9606.ENSP00000280187,9606.ENSP00000285238,9606.ENSP00000289248,9606.ENSP00000296420,9606.ENSP00000297477,9606.ENSP00000297508,9606.ENSP00000298351,9606.ENSP00000300900,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000305675,9606.ENSP00000306490,9606.ENSP00000306772,9606.ENSP00000311502,9606.ENSP00000312126,9606.ENSP00000313172,9606.ENSP00000317817,9606.ENSP00000318270,9606.ENSP00000324302,9606.ENSP00000326018,9606.ENSP00000326888,9606.ENSP00000327246,9606.ENSP00000334938,9606.ENSP00000336775,9606.ENSP00000339191,9606.ENSP00000342858,9606.ENSP00000345359,9606.ENSP00000348278,9606.ENSP00000349259,9606.ENSP00000349541,9606.ENSP00000351430,9606.ENSP00000352540,9606.ENSP00000353013,9606.ENSP00000354080,9606.ENSP00000356540,9606.ENSP00000356991,9606.ENSP00000357073,9606.ENSP00000357389,9606.ENSP00000359245,9606.ENSP00000361214,9606.ENSP00000362894,9606.ENSP00000363001,9606.ENSP00000363654,9606.ENSP00000364163,9606.ENSP00000364210,9606.ENSP00000365528,9606.ENSP00000366416,9606.ENSP00000367608,9606.ENSP00000368720,9606.ENSP00000368771,9606.ENSP00000368966,9606.ENSP00000369320,9606.ENSP00000369375,9606.ENSP00000369442,9606.ENSP00000371936,9606.ENSP00000373364,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000376609,9606.ENSP00000377520,9606.ENSP00000377823,9606.ENSP00000383376,9606.ENSP00000387739,9606.ENSP00000405841,9606.ENSP00000411613,9606.ENSP00000414378,9606.ENSP00000415743,9606.ENSP00000416037,9606.ENSP00000432568,9606.ENSP00000433560,9606.ENSP00000434034,9606.ENSP00000447488,9606.ENSP00000457421,9606.ENSP00000465638,9606.ENSP00000479243,9606.ENSP00000494162,9606.ENSP00000497290	CEACAM7,CEACAM1,CLIC5,FERMT1,CEACAM5,CAV2,PCDH12,SEMA3G,RAMP3,GNG11,RAMP2,SMAD7,RGS9,EPCAM,IL1RL2,MYZAP,EPN3,ABCA12,TMEM47,GPM6A,ABCC3,RHBDL2,EMCN,TMEM184A,MICALL2,TMEM63C,CA4,ROBO4,S1PR1,CAVIN2,CHRM1,LDB2,HEG1,ADCY4,BVES,SH2D3C,PROM2,STXBP6,PRX,LIMS2,VIPR1,UPK3B,SYNM,CAV1,FERMT2,PODXL2,STK39,SPTBN1,CAVIN1,GYPE,EMP2,CLEC14A,SCUBE1,STX11,NECTIN4,IGSF9,SLC50A1,ABCA4,NRG3,RTKN2,SMPDL3B,PALM2AKAP2,NOTCH4,AGER,PTPRH,EDNRB,CA9,PLEKHN1,MUC3A,TRPC3,RS1,TEK,KL,SEMA5A,GOLM1,ACVRL1,CALCRL,GRK5,SYT12,NDRG4,JAM2,AMOTL1,RXFP1,AOC1,EFNA4,CD36,TMPRSS4,SPTBN2,CRYAB,FZD4,LIN7A,PECAM1,TMEM100,ECSCR,CBLC,CDH5	2.3e-08	1.57e-05	Plasma membrane
Component	GO:0098590	35	1237	9606	9606.ENSP00000006724,9606.ENSP00000161559,9606.ENSP00000185206,9606.ENSP00000217289,9606.ENSP00000221992,9606.ENSP00000222693,9606.ENSP00000253796,9606.ENSP00000262406,9606.ENSP00000263735,9606.ENSP00000268933,9606.ENSP00000280187,9606.ENSP00000285238,9606.ENSP00000300900,9606.ENSP00000305675,9606.ENSP00000306490,9606.ENSP00000313172,9606.ENSP00000317817,9606.ENSP00000318270,9606.ENSP00000339191,9606.ENSP00000342858,9606.ENSP00000348278,9606.ENSP00000349259,9606.ENSP00000349541,9606.ENSP00000352540,9606.ENSP00000356540,9606.ENSP00000364210,9606.ENSP00000365528,9606.ENSP00000367608,9606.ENSP00000369375,9606.ENSP00000369442,9606.ENSP00000377823,9606.ENSP00000415743,9606.ENSP00000432568,9606.ENSP00000433560,9606.ENSP00000447488	CEACAM7,CEACAM1,CLIC5,FERMT1,CEACAM5,CAV2,RAMP2,RGS9,EPCAM,EPN3,GPM6A,ABCC3,CA4,CAVIN2,CHRM1,BVES,SH2D3C,PROM2,CAV1,FERMT2,STK39,SPTBN1,CAVIN1,EMP2,STX11,AGER,PTPRH,CA9,TEK,KL,NDRG4,CD36,SPTBN2,CRYAB,LIN7A	1.16e-07	5.92e-05	Plasma membrane region
Component	GO:0070161	35	1325	9606	9606.ENSP00000161559,9606.ENSP00000217289,9606.ENSP00000222145,9606.ENSP00000222693,9606.ENSP00000231484,9606.ENSP00000263735,9606.ENSP00000267853,9606.ENSP00000275954,9606.ENSP00000280187,9606.ENSP00000296721,9606.ENSP00000297508,9606.ENSP00000306490,9606.ENSP00000311502,9606.ENSP00000312634,9606.ENSP00000313172,9606.ENSP00000324302,9606.ENSP00000326018,9606.ENSP00000326888,9606.ENSP00000336775,9606.ENSP00000339191,9606.ENSP00000342858,9606.ENSP00000356991,9606.ENSP00000357073,9606.ENSP00000358365,9606.ENSP00000369375,9606.ENSP00000377520,9606.ENSP00000383376,9606.ENSP00000384040,9606.ENSP00000387739,9606.ENSP00000411613,9606.ENSP00000432568,9606.ENSP00000434034,9606.ENSP00000447488,9606.ENSP00000457421,9606.ENSP00000497290	CEACAM1,FERMT1,RASIP1,CAV2,PCDH12,EPCAM,MYZAP,TMEM47,GPM6A,AFAP1L1,MICALL2,CHRM1,HEG1,PDLIM2,BVES,STXBP6,PRX,LIMS2,SYNM,CAV1,FERMT2,NECTIN4,IGSF9,NRAP,TEK,SYT12,JAM2,CCDC85A,AMOTL1,AOC1,SPTBN2,FZD4,LIN7A,PECAM1,CDH5	5.67e-07	0.00023	Anchoring junction
Component	GO:0016324	16	367	9606	9606.ENSP00000006724,9606.ENSP00000161559,9606.ENSP00000185206,9606.ENSP00000221992,9606.ENSP00000263735,9606.ENSP00000300900,9606.ENSP00000318270,9606.ENSP00000339191,9606.ENSP00000348278,9606.ENSP00000352540,9606.ENSP00000364210,9606.ENSP00000365528,9606.ENSP00000369375,9606.ENSP00000369442,9606.ENSP00000415743,9606.ENSP00000432568	CEACAM7,CEACAM1,CLIC5,CEACAM5,EPCAM,CA4,PROM2,CAV1,STK39,EMP2,AGER,PTPRH,TEK,KL,CD36,SPTBN2	2.75e-06	0.00094	Apical plasma membrane
Component	GO:0030054	44	2115	9606	9606.ENSP00000161559,9606.ENSP00000217289,9606.ENSP00000222145,9606.ENSP00000222693,9606.ENSP00000231484,9606.ENSP00000262406,9606.ENSP00000263735,9606.ENSP00000267853,9606.ENSP00000275954,9606.ENSP00000280187,9606.ENSP00000296721,9606.ENSP00000297508,9606.ENSP00000306490,9606.ENSP00000311502,9606.ENSP00000312634,9606.ENSP00000313172,9606.ENSP00000320092,9606.ENSP00000324302,9606.ENSP00000326018,9606.ENSP00000326888,9606.ENSP00000336775,9606.ENSP00000339191,9606.ENSP00000342858,9606.ENSP00000349259,9606.ENSP00000355094,9606.ENSP00000356540,9606.ENSP00000356991,9606.ENSP00000357073,9606.ENSP00000358365,9606.ENSP00000361214,9606.ENSP00000364210,9606.ENSP00000369320,9606.ENSP00000369375,9606.ENSP00000377520,9606.ENSP00000383376,9606.ENSP00000384040,9606.ENSP00000387739,9606.ENSP00000411613,9606.ENSP00000432568,9606.ENSP00000433560,9606.ENSP00000434034,9606.ENSP00000447488,9606.ENSP00000457421,9606.ENSP00000497290	CEACAM1,FERMT1,RASIP1,CAV2,PCDH12,RGS9,EPCAM,MYZAP,TMEM47,GPM6A,AFAP1L1,MICALL2,CHRM1,HEG1,PDLIM2,BVES,SH3GL3,STXBP6,PRX,LIMS2,SYNM,CAV1,FERMT2,SPTBN1,QKI,STX11,NECTIN4,IGSF9,NRAP,NRG3,AGER,RS1,TEK,SYT12,JAM2,CCDC85A,AMOTL1,AOC1,SPTBN2,CRYAB,FZD4,LIN7A,PECAM1,CDH5	9.02e-06	0.0026	Cell junction
Component	GO:0031224	90	5828	9606	9606.ENSP00000006724,9606.ENSP00000161559,9606.ENSP00000185206,9606.ENSP00000221992,9606.ENSP00000222693,9606.ENSP00000231484,9606.ENSP00000231721,9606.ENSP00000242249,9606.ENSP00000244565,9606.ENSP00000253796,9606.ENSP00000261797,9606.ENSP00000263735,9606.ENSP00000264257,9606.ENSP00000267859,9606.ENSP00000272895,9606.ENSP00000275954,9606.ENSP00000280187,9606.ENSP00000285238,9606.ENSP00000289248,9606.ENSP00000296420,9606.ENSP00000297477,9606.ENSP00000298351,9606.ENSP00000300900,9606.ENSP00000302833,9606.ENSP00000303508,9606.ENSP00000304945,9606.ENSP00000305416,9606.ENSP00000305603,9606.ENSP00000306490,9606.ENSP00000311502,9606.ENSP00000312126,9606.ENSP00000313172,9606.ENSP00000315137,9606.ENSP00000318270,9606.ENSP00000325776,9606.ENSP00000327246,9606.ENSP00000334938,9606.ENSP00000339191,9606.ENSP00000345359,9606.ENSP00000351430,9606.ENSP00000352540,9606.ENSP00000353013,9606.ENSP00000356121,9606.ENSP00000356214,9606.ENSP00000356540,9606.ENSP00000356991,9606.ENSP00000357073,9606.ENSP00000357389,9606.ENSP00000359245,9606.ENSP00000361214,9606.ENSP00000362136,9606.ENSP00000362814,9606.ENSP00000363001,9606.ENSP00000364163,9606.ENSP00000364210,9606.ENSP00000365243,9606.ENSP00000365528,9606.ENSP00000366416,9606.ENSP00000366827,9606.ENSP00000367608,9606.ENSP00000368771,9606.ENSP00000368966,9606.ENSP00000369375,9606.ENSP00000369442,9606.ENSP00000371936,9606.ENSP00000373364,9606.ENSP00000373574,9606.ENSP00000376177,9606.ENSP00000377520,9606.ENSP00000377823,9606.ENSP00000379377,9606.ENSP00000383376,9606.ENSP00000385235,9606.ENSP00000386918,9606.ENSP00000387498,9606.ENSP00000405841,9606.ENSP00000414378,9606.ENSP00000415743,9606.ENSP00000416037,9606.ENSP00000417583,9606.ENSP00000429473,9606.ENSP00000434034,9606.ENSP00000446830,9606.ENSP00000457421,9606.ENSP00000465638,9606.ENSP00000479243,9606.ENSP00000484640,9606.ENSP00000490187,9606.ENSP00000490925,9606.ENSP00000497290	CEACAM7,CEACAM1,CLIC5,CEACAM5,CAV2,PCDH12,SEMA3G,RAMP3,UNC5CL,RAMP2,NDST1,EPCAM,IL1RL2,BNIP2,ABCA12,TMEM47,GPM6A,ABCC3,RHBDL2,EMCN,TMEM184A,TMEM63C,CA4,GIMAP1,FRMD3,ROBO4,S1PR1,FUT3,CHRM1,HEG1,ADCY4,BVES,SGPP2,PROM2,SERTM1,VIPR1,UPK3B,CAV1,PODXL2,GYPE,EMP2,CLEC14A,LEMD1,MYCT1,STX11,NECTIN4,IGSF9,SLC50A1,ABCA4,NRG3,MANEAL,SERINC2,SMPDL3B,NOTCH4,AGER,COX4I2,PTPRH,EDNRB,ST8SIA6,CA9,MUC3A,TRPC3,TEK,KL,SEMA5A,GOLM1,ACVRL1,CALCRL,SYT12,NDRG4,GCNT3,JAM2,LARGE2,KDELR3,FUT2,RXFP1,EFNA4,CD36,TMPRSS4,ST6GALNAC5,HS6ST2,FZD4,DNAJC22,PECAM1,TMEM100,ECSCR,B3GNT6,SPAAR,C14orf132,CDH5	1.74e-05	0.0044	Intrinsic component of membrane
Component	GO:1903143	3	3	9606	9606.ENSP00000242249,9606.ENSP00000253796,9606.ENSP00000376177	RAMP3,RAMP2,CALCRL	2.17e-05	0.0046	Adrenomedullin receptor complex
Component	GO:0005912	10	177	9606	9606.ENSP00000161559,9606.ENSP00000275954,9606.ENSP00000312634,9606.ENSP00000324302,9606.ENSP00000336775,9606.ENSP00000342858,9606.ENSP00000356991,9606.ENSP00000384040,9606.ENSP00000447488,9606.ENSP00000497290	CEACAM1,TMEM47,PDLIM2,STXBP6,SYNM,FERMT2,NECTIN4,CCDC85A,LIN7A,CDH5	2.72e-05	0.0051	Adherens junction
