gene,Description
ETV4,ETS variant transcription factor 4
GCNT3,"glucosaminyl (N-acetyl) transferase 3, mucin type"
ACVRL1,activin A receptor like type 1
C14orf132,chromosome 14 open reading frame 132
PYCR1,pyrroline-5-carboxylate reductase 1
USHBP1,USH1 protein network component harmonin binding protein 1
COL10A1,collagen type X alpha 1 chain
ABCA12,ATP binding cassette subfamily A member 12
ARHGEF26,Rho guanine nucleotide exchange factor 26
PROM2,prominin 2
CA4,carbonic anhydrase 4
RHBDL2,rhomboid like 2
EPAS1,endothelial PAS domain protein 1
BCL2L15,BCL2 like 15
AFAP1-AS1,AFAP1 antisense RNA 1
HSPA12B,heat shock protein family A (Hsp70) member 12B
UNC5CL,unc-5 family C-terminal like
RAMP2,receptor activity modifying protein 2
SPINK1,serine peptidase inhibitor Kazal type 1
SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3"
LIMS2,LIM zinc finger domain containing 2
IGSF9,immunoglobulin superfamily member 9
SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1"
MUC3A,"mucin 3A, cell surface associated"
C20orf202,chromosome 20 open reading frame 202
SPDEF,SAM pointed domain containing ETS transcription factor
CAV1,caveolin 1
NCKAP5,NCK associated protein 5
PRX,periaxin
XDH,xanthine dehydrogenase
NECTIN4,nectin cell adhesion molecule 4
MYZAP,myocardial zonula adherens protein
LOC101928372,uncharacterized LOC101928372
UPK3B,uroplakin 3B
ROBO4,roundabout guidance receptor 4
FAM83A,family with sequence similarity 83 member A
FEZF1-AS1,FEZF1 antisense RNA 1
LOC105447645,uncharacterized LOC105447645
NOVA2,NOVA alternative splicing regulator 2
CEACAM5,CEA cell adhesion molecule 5
STXBP6,syntaxin binding protein 6
PCAT19,prostate cancer associated transcript 19
GPT2,glutamic--pyruvic transaminase 2
PLEKHN1,pleckstrin homology domain containing N1
TMEM100,transmembrane protein 100
ABCC3,ATP binding cassette subfamily C member 3
CCDC85A,coiled-coil domain containing 85A
PODXL2,podocalyxin like 2
TMPRSS4,transmembrane serine protease 4
AGER,advanced glycosylation end-product specific receptor
FUT2,fucosyltransferase 2
RAMP3,receptor activity modifying protein 3
SEMA5A,semaphorin 5A
ECSCR,endothelial cell surface expressed chemotaxis and apoptosis regulator
RTKN2,rhotekin 2
GRHL3,grainyhead like transcription factor 3
ARHGAP40,Rho GTPase activating protein 40
LINC01426,long intergenic non-protein coding RNA 1426
STK39,serine/threonine kinase 39
ADM2,adrenomedullin 2
SYT12,synaptotagmin 12
SERINC2,serine incorporator 2
VIPR1-AS1,VIPR1 antisense RNA 1
CAVIN1,caveolae associated protein 1
LOC105375431,uncharacterized LOC105375431
SPOCK2,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2"
MMP11,matrix metallopeptidase 11
METTL7B,methyltransferase like 7B
RAMP2-AS1,RAMP2 antisense RNA 1
CCM2L,CCM2 like scaffold protein
SPP1,secreted phosphoprotein 1
EMCN,endomucin
ARHGEF15,Rho guanine nucleotide exchange factor 15
SPTBN2,"spectrin beta, non-erythrocytic 2"
LOC105373180,uncharacterized LOC105373180
PALM2AKAP2,PALM2 and AKAP2 fusion
CRABP2,cellular retinoic acid binding protein 2
BLACAT1,BLACAT1 overlapping LEMD1 locus
C10orf67-AS1,C10orf67 antisense RNA 1
STX11,syntaxin 11
SH2D3C,SH2 domain containing 3C
MIOX,myo-inositol oxygenase
B3GNT6,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
CRYAB,crystallin alpha B
DNAH14,dynein axonemal heavy chain 14
LINC02014,long intergenic non-protein coding RNA 2014
LOC102723507,
NDRG4,NDRG family member 4
ITLN2,intelectin 2
OCIAD2,OCIA domain containing 2
EDNRB,endothelin receptor type B
LOC105369333,uncharacterized LOC105369333
SPAAR,small regulatory polypeptide of amino acid response
RAB4A-AS1,RAB4A antisense RNA 1
MMRN2,multimerin 2
LOC105374673,uncharacterized LOC105374673
VIPR1,vasoactive intestinal peptide receptor 1
ZFPM2-AS1,ZFPM2 antisense RNA 1
